v_ft_s,alpha_deg,rps,hood_deg,flags
16.0,45.0,20.30534351145038,37.900000000000006,
16.0,47.5,20.30534351145038,35.400000000000006,
16.0,50.0,20.30534351145038,32.900000000000006,
16.0,52.5,20.30534351145038,30.400000000000006,
16.0,55.0,20.30534351145038,27.900000000000006,
16.0,57.5,20.30534351145038,25.400000000000006,
16.0,60.0,20.30534351145038,22.900000000000006,
16.0,62.5,20.30534351145038,20.400000000000006,
16.0,65.0,20.30534351145038,17.900000000000006,
16.0,67.5,20.30534351145038,15.400000000000006,
16.0,70.0,20.30534351145038,12.900000000000006,
16.0,72.5,20.30534351145038,10.400000000000006,
16.0,75.0,20.30534351145038,7.900000000000006,
16.0,77.5,20.30534351145038,5.400000000000006,
16.0,80.0,20.30534351145038,2.9000000000000057,
16.0,82.5,20.30534351145038,0.4000000000000057,
16.0,85.0,20.30534351145038,-2.0999999999999943,hood<0
17.0,45.0,21.83206106870229,37.900000000000006,
17.0,47.5,21.83206106870229,35.400000000000006,
17.0,50.0,21.83206106870229,32.900000000000006,
17.0,52.5,21.83206106870229,30.400000000000006,
17.0,55.0,21.83206106870229,27.900000000000006,
17.0,57.5,21.83206106870229,25.400000000000006,
17.0,60.0,21.83206106870229,22.900000000000006,
17.0,62.5,21.83206106870229,20.400000000000006,
17.0,65.0,21.83206106870229,17.900000000000006,
17.0,67.5,21.83206106870229,15.400000000000006,
17.0,70.0,21.83206106870229,12.900000000000006,
17.0,72.5,21.83206106870229,10.400000000000006,
17.0,75.0,21.83206106870229,7.900000000000006,
17.0,77.5,21.83206106870229,5.400000000000006,
17.0,80.0,21.83206106870229,2.9000000000000057,
17.0,82.5,21.83206106870229,0.4000000000000057,
17.0,85.0,21.83206106870229,-2.0999999999999943,hood<0
18.0,45.0,23.358778625954198,37.900000000000006,
18.0,47.5,23.358778625954198,35.400000000000006,
18.0,50.0,23.358778625954198,32.900000000000006,
18.0,52.5,23.358778625954198,30.400000000000006,
18.0,55.0,23.358778625954198,27.900000000000006,
18.0,57.5,23.358778625954198,25.400000000000006,
18.0,60.0,23.358778625954198,22.900000000000006,
18.0,62.5,23.358778625954198,20.400000000000006,
18.0,65.0,23.358778625954198,17.900000000000006,
18.0,67.5,23.358778625954198,15.400000000000006,
18.0,70.0,23.358778625954198,12.900000000000006,
18.0,72.5,23.358778625954198,10.400000000000006,
18.0,75.0,23.358778625954198,7.900000000000006,
18.0,77.5,23.358778625954198,5.400000000000006,
18.0,80.0,23.358778625954198,2.9000000000000057,
18.0,82.5,23.358778625954198,0.4000000000000057,
18.0,85.0,23.358778625954198,-2.0999999999999943,hood<0
19.0,45.0,24.885496183206108,37.900000000000006,
19.0,47.5,24.885496183206108,35.400000000000006,
19.0,50.0,24.885496183206108,32.900000000000006,
19.0,52.5,24.885496183206108,30.400000000000006,
19.0,55.0,24.885496183206108,27.900000000000006,
19.0,57.5,24.885496183206108,25.400000000000006,
19.0,60.0,24.885496183206108,22.900000000000006,
19.0,62.5,24.885496183206108,20.400000000000006,
19.0,65.0,24.885496183206108,17.900000000000006,
19.0,67.5,24.885496183206108,15.400000000000006,
19.0,70.0,24.885496183206108,12.900000000000006,
19.0,72.5,24.885496183206108,10.400000000000006,
19.0,75.0,24.885496183206108,7.900000000000006,
19.0,77.5,24.885496183206108,5.400000000000006,
19.0,80.0,24.885496183206108,2.9000000000000057,
19.0,82.5,24.885496183206108,0.4000000000000057,
19.0,85.0,24.885496183206108,-2.0999999999999943,hood<0
20.0,45.0,26.412213740458014,37.900000000000006,
20.0,47.5,26.412213740458014,35.400000000000006,
20.0,50.0,26.412213740458014,32.900000000000006,
20.0,52.5,26.412213740458014,30.400000000000006,
20.0,55.0,26.412213740458014,27.900000000000006,
20.0,57.5,26.412213740458014,25.400000000000006,
20.0,60.0,26.412213740458014,22.900000000000006,
20.0,62.5,26.412213740458014,20.400000000000006,
20.0,65.0,26.412213740458014,17.900000000000006,
20.0,67.5,26.412213740458014,15.400000000000006,
20.0,70.0,26.412213740458014,12.900000000000006,
20.0,72.5,26.412213740458014,10.400000000000006,
20.0,75.0,26.412213740458014,7.900000000000006,
20.0,77.5,26.412213740458014,5.400000000000006,
20.0,80.0,26.412213740458014,2.9000000000000057,
20.0,82.5,26.412213740458014,0.4000000000000057,
20.0,85.0,26.412213740458014,-2.0999999999999943,hood<0
21.0,45.0,27.938931297709924,37.900000000000006,
21.0,47.5,27.938931297709924,35.400000000000006,
21.0,50.0,27.938931297709924,32.900000000000006,
21.0,52.5,27.938931297709924,30.400000000000006,
21.0,55.0,27.938931297709924,27.900000000000006,
21.0,57.5,27.938931297709924,25.400000000000006,
21.0,60.0,27.938931297709924,22.900000000000006,
21.0,62.5,27.938931297709924,20.400000000000006,
21.0,65.0,27.938931297709924,17.900000000000006,
21.0,67.5,27.938931297709924,15.400000000000006,
21.0,70.0,27.938931297709924,12.900000000000006,
21.0,72.5,27.938931297709924,10.400000000000006,
21.0,75.0,27.938931297709924,7.900000000000006,
21.0,77.5,27.938931297709924,5.400000000000006,
21.0,80.0,27.938931297709924,2.9000000000000057,
21.0,82.5,27.938931297709924,0.4000000000000057,
21.0,85.0,27.938931297709924,-2.0999999999999943,hood<0
22.0,45.0,29.46564885496183,37.900000000000006,
22.0,47.5,29.46564885496183,35.400000000000006,
22.0,50.0,29.46564885496183,32.900000000000006,
22.0,52.5,29.46564885496183,30.400000000000006,
22.0,55.0,29.46564885496183,27.900000000000006,
22.0,57.5,29.46564885496183,25.400000000000006,
22.0,60.0,29.46564885496183,22.900000000000006,
22.0,62.5,29.46564885496183,20.400000000000006,
22.0,65.0,29.46564885496183,17.900000000000006,
22.0,67.5,29.46564885496183,15.400000000000006,
22.0,70.0,29.46564885496183,12.900000000000006,
22.0,72.5,29.46564885496183,10.400000000000006,
22.0,75.0,29.46564885496183,7.900000000000006,
22.0,77.5,29.46564885496183,5.400000000000006,
22.0,80.0,29.46564885496183,2.9000000000000057,
22.0,82.5,29.46564885496183,0.4000000000000057,
22.0,85.0,29.46564885496183,-2.0999999999999943,hood<0
23.0,45.0,30.99236641221374,37.900000000000006,
23.0,47.5,30.99236641221374,35.400000000000006,
23.0,50.0,30.99236641221374,32.900000000000006,
23.0,52.5,30.99236641221374,30.400000000000006,
23.0,55.0,30.99236641221374,27.900000000000006,
23.0,57.5,30.99236641221374,25.400000000000006,
23.0,60.0,30.99236641221374,22.900000000000006,
23.0,62.5,30.99236641221374,20.400000000000006,
23.0,65.0,30.99236641221374,17.900000000000006,
23.0,67.5,30.99236641221374,15.400000000000006,
23.0,70.0,30.99236641221374,12.900000000000006,
23.0,72.5,30.99236641221374,10.400000000000006,
23.0,75.0,30.99236641221374,7.900000000000006,
23.0,77.5,30.99236641221374,5.400000000000006,
23.0,80.0,30.99236641221374,2.9000000000000057,
23.0,82.5,30.99236641221374,0.4000000000000057,
23.0,85.0,30.99236641221374,-2.0999999999999943,hood<0
24.0,45.0,32.51908396946565,37.900000000000006,
24.0,47.5,32.51908396946565,35.400000000000006,
24.0,50.0,32.51908396946565,32.900000000000006,
24.0,52.5,32.51908396946565,30.400000000000006,
24.0,55.0,32.51908396946565,27.900000000000006,
24.0,57.5,32.51908396946565,25.400000000000006,
24.0,60.0,32.51908396946565,22.900000000000006,
24.0,62.5,32.51908396946565,20.400000000000006,
24.0,65.0,32.51908396946565,17.900000000000006,
24.0,67.5,32.51908396946565,15.400000000000006,
24.0,70.0,32.51908396946565,12.900000000000006,
24.0,72.5,32.51908396946565,10.400000000000006,
24.0,75.0,32.51908396946565,7.900000000000006,
24.0,77.5,32.51908396946565,5.400000000000006,
24.0,80.0,32.51908396946565,2.9000000000000057,
24.0,82.5,32.51908396946565,0.4000000000000057,
24.0,85.0,32.51908396946565,-2.0999999999999943,hood<0
25.0,45.0,34.045801526717554,37.900000000000006,
25.0,47.5,34.045801526717554,35.400000000000006,
25.0,50.0,34.045801526717554,32.900000000000006,
25.0,52.5,34.045801526717554,30.400000000000006,
25.0,55.0,34.045801526717554,27.900000000000006,
25.0,57.5,34.045801526717554,25.400000000000006,
25.0,60.0,34.045801526717554,22.900000000000006,
25.0,62.5,34.045801526717554,20.400000000000006,
25.0,65.0,34.045801526717554,17.900000000000006,
25.0,67.5,34.045801526717554,15.400000000000006,
25.0,70.0,34.045801526717554,12.900000000000006,
25.0,72.5,34.045801526717554,10.400000000000006,
25.0,75.0,34.045801526717554,7.900000000000006,
25.0,77.5,34.045801526717554,5.400000000000006,
25.0,80.0,34.045801526717554,2.9000000000000057,
25.0,82.5,34.045801526717554,0.4000000000000057,
25.0,85.0,34.045801526717554,-2.0999999999999943,hood<0
26.0,45.0,35.57251908396947,37.900000000000006,
26.0,47.5,35.57251908396947,35.400000000000006,
26.0,50.0,35.57251908396947,32.900000000000006,
26.0,52.5,35.57251908396947,30.400000000000006,
26.0,55.0,35.57251908396947,27.900000000000006,
26.0,57.5,35.57251908396947,25.400000000000006,
26.0,60.0,35.57251908396947,22.900000000000006,
26.0,62.5,35.57251908396947,20.400000000000006,
26.0,65.0,35.57251908396947,17.900000000000006,
26.0,67.5,35.57251908396947,15.400000000000006,
26.0,70.0,35.57251908396947,12.900000000000006,
26.0,72.5,35.57251908396947,10.400000000000006,
26.0,75.0,35.57251908396947,7.900000000000006,
26.0,77.5,35.57251908396947,5.400000000000006,
26.0,80.0,35.57251908396947,2.9000000000000057,
26.0,82.5,35.57251908396947,0.4000000000000057,
26.0,85.0,35.57251908396947,-2.0999999999999943,hood<0
27.0,45.0,37.099236641221374,37.900000000000006,
27.0,47.5,37.099236641221374,35.400000000000006,
27.0,50.0,37.099236641221374,32.900000000000006,
27.0,52.5,37.099236641221374,30.400000000000006,
27.0,55.0,37.099236641221374,27.900000000000006,
27.0,57.5,37.099236641221374,25.400000000000006,
27.0,60.0,37.099236641221374,22.900000000000006,
27.0,62.5,37.099236641221374,20.400000000000006,
27.0,65.0,37.099236641221374,17.900000000000006,
27.0,67.5,37.099236641221374,15.400000000000006,
27.0,70.0,37.099236641221374,12.900000000000006,
27.0,72.5,37.099236641221374,10.400000000000006,
27.0,75.0,37.099236641221374,7.900000000000006,
27.0,77.5,37.099236641221374,5.400000000000006,
27.0,80.0,37.099236641221374,2.9000000000000057,
27.0,82.5,37.099236641221374,0.4000000000000057,
27.0,85.0,37.099236641221374,-2.0999999999999943,hood<0
28.0,45.0,38.62595419847328,37.900000000000006,
28.0,47.5,38.62595419847328,35.400000000000006,
28.0,50.0,38.62595419847328,32.900000000000006,
28.0,52.5,38.62595419847328,30.400000000000006,
28.0,55.0,38.62595419847328,27.900000000000006,
28.0,57.5,38.62595419847328,25.400000000000006,
28.0,60.0,38.62595419847328,22.900000000000006,
28.0,62.5,38.62595419847328,20.400000000000006,
28.0,65.0,38.62595419847328,17.900000000000006,
28.0,67.5,38.62595419847328,15.400000000000006,
28.0,70.0,38.62595419847328,12.900000000000006,
28.0,72.5,38.62595419847328,10.400000000000006,
28.0,75.0,38.62595419847328,7.900000000000006,
28.0,77.5,38.62595419847328,5.400000000000006,
28.0,80.0,38.62595419847328,2.9000000000000057,
28.0,82.5,38.62595419847328,0.4000000000000057,
28.0,85.0,38.62595419847328,-2.0999999999999943,hood<0
29.0,45.0,40.15267175572519,37.900000000000006,
29.0,47.5,40.15267175572519,35.400000000000006,
29.0,50.0,40.15267175572519,32.900000000000006,
29.0,52.5,40.15267175572519,30.400000000000006,
29.0,55.0,40.15267175572519,27.900000000000006,
29.0,57.5,40.15267175572519,25.400000000000006,
29.0,60.0,40.15267175572519,22.900000000000006,
29.0,62.5,40.15267175572519,20.400000000000006,
29.0,65.0,40.15267175572519,17.900000000000006,
29.0,67.5,40.15267175572519,15.400000000000006,
29.0,70.0,40.15267175572519,12.900000000000006,
29.0,72.5,40.15267175572519,10.400000000000006,
29.0,75.0,40.15267175572519,7.900000000000006,
29.0,77.5,40.15267175572519,5.400000000000006,
29.0,80.0,40.15267175572519,2.9000000000000057,
29.0,82.5,40.15267175572519,0.4000000000000057,
29.0,85.0,40.15267175572519,-2.0999999999999943,hood<0
30.0,45.0,41.6793893129771,37.900000000000006,
30.0,47.5,41.6793893129771,35.400000000000006,
30.0,50.0,41.6793893129771,32.900000000000006,
30.0,52.5,41.6793893129771,30.400000000000006,
30.0,55.0,41.6793893129771,27.900000000000006,
30.0,57.5,41.6793893129771,25.400000000000006,
30.0,60.0,41.6793893129771,22.900000000000006,
30.0,62.5,41.6793893129771,20.400000000000006,
30.0,65.0,41.6793893129771,17.900000000000006,
30.0,67.5,41.6793893129771,15.400000000000006,
30.0,70.0,41.6793893129771,12.900000000000006,
30.0,72.5,41.6793893129771,10.400000000000006,
30.0,75.0,41.6793893129771,7.900000000000006,
30.0,77.5,41.6793893129771,5.400000000000006,
30.0,80.0,41.6793893129771,2.9000000000000057,
30.0,82.5,41.6793893129771,0.4000000000000057,
30.0,85.0,41.6793893129771,-2.0999999999999943,hood<0
31.0,45.0,43.20610687022901,37.900000000000006,
31.0,47.5,43.20610687022901,35.400000000000006,
31.0,50.0,43.20610687022901,32.900000000000006,
31.0,52.5,43.20610687022901,30.400000000000006,
31.0,55.0,43.20610687022901,27.900000000000006,
31.0,57.5,43.20610687022901,25.400000000000006,
31.0,60.0,43.20610687022901,22.900000000000006,
31.0,62.5,43.20610687022901,20.400000000000006,
31.0,65.0,43.20610687022901,17.900000000000006,
31.0,67.5,43.20610687022901,15.400000000000006,
31.0,70.0,43.20610687022901,12.900000000000006,
31.0,72.5,43.20610687022901,10.400000000000006,
31.0,75.0,43.20610687022901,7.900000000000006,
31.0,77.5,43.20610687022901,5.400000000000006,
31.0,80.0,43.20610687022901,2.9000000000000057,
31.0,82.5,43.20610687022901,0.4000000000000057,
31.0,85.0,43.20610687022901,-2.0999999999999943,hood<0
32.0,45.0,44.732824427480914,37.900000000000006,
32.0,47.5,44.732824427480914,35.400000000000006,
32.0,50.0,44.732824427480914,32.900000000000006,
32.0,52.5,44.732824427480914,30.400000000000006,
32.0,55.0,44.732824427480914,27.900000000000006,
32.0,57.5,44.732824427480914,25.400000000000006,
32.0,60.0,44.732824427480914,22.900000000000006,
32.0,62.5,44.732824427480914,20.400000000000006,
32.0,65.0,44.732824427480914,17.900000000000006,
32.0,67.5,44.732824427480914,15.400000000000006,
32.0,70.0,44.732824427480914,12.900000000000006,
32.0,72.5,44.732824427480914,10.400000000000006,
32.0,75.0,44.732824427480914,7.900000000000006,
32.0,77.5,44.732824427480914,5.400000000000006,
32.0,80.0,44.732824427480914,2.9000000000000057,
32.0,82.5,44.732824427480914,0.4000000000000057,
32.0,85.0,44.732824427480914,-2.0999999999999943,hood<0
33.0,45.0,46.25954198473282,37.900000000000006,
33.0,47.5,46.25954198473282,35.400000000000006,
33.0,50.0,46.25954198473282,32.900000000000006,
33.0,52.5,46.25954198473282,30.400000000000006,
33.0,55.0,46.25954198473282,27.900000000000006,
33.0,57.5,46.25954198473282,25.400000000000006,
33.0,60.0,46.25954198473282,22.900000000000006,
33.0,62.5,46.25954198473282,20.400000000000006,
33.0,65.0,46.25954198473282,17.900000000000006,
33.0,67.5,46.25954198473282,15.400000000000006,
33.0,70.0,46.25954198473282,12.900000000000006,
33.0,72.5,46.25954198473282,10.400000000000006,
33.0,75.0,46.25954198473282,7.900000000000006,
33.0,77.5,46.25954198473282,5.400000000000006,
33.0,80.0,46.25954198473282,2.9000000000000057,
33.0,82.5,46.25954198473282,0.4000000000000057,
33.0,85.0,46.25954198473282,-2.0999999999999943,hood<0
34.0,45.0,47.786259541984734,37.900000000000006,
34.0,47.5,47.786259541984734,35.400000000000006,
34.0,50.0,47.786259541984734,32.900000000000006,
34.0,52.5,47.786259541984734,30.400000000000006,
34.0,55.0,47.786259541984734,27.900000000000006,
34.0,57.5,47.786259541984734,25.400000000000006,
34.0,60.0,47.786259541984734,22.900000000000006,
34.0,62.5,47.786259541984734,20.400000000000006,
34.0,65.0,47.786259541984734,17.900000000000006,
34.0,67.5,47.786259541984734,15.400000000000006,
34.0,70.0,47.786259541984734,12.900000000000006,
34.0,72.5,47.786259541984734,10.400000000000006,
34.0,75.0,47.786259541984734,7.900000000000006,
34.0,77.5,47.786259541984734,5.400000000000006,
34.0,80.0,47.786259541984734,2.9000000000000057,
34.0,82.5,47.786259541984734,0.4000000000000057,
34.0,85.0,47.786259541984734,-2.0999999999999943,hood<0
35.0,45.0,49.31297709923663,37.900000000000006,
35.0,47.5,49.31297709923663,35.400000000000006,
35.0,50.0,49.31297709923663,32.900000000000006,
35.0,52.5,49.31297709923663,30.400000000000006,
35.0,55.0,49.31297709923663,27.900000000000006,
35.0,57.5,49.31297709923663,25.400000000000006,
35.0,60.0,49.31297709923663,22.900000000000006,
35.0,62.5,49.31297709923663,20.400000000000006,
35.0,65.0,49.31297709923663,17.900000000000006,
35.0,67.5,49.31297709923663,15.400000000000006,
35.0,70.0,49.31297709923663,12.900000000000006,
35.0,72.5,49.31297709923663,10.400000000000006,
35.0,75.0,49.31297709923663,7.900000000000006,
35.0,77.5,49.31297709923663,5.400000000000006,
35.0,80.0,49.31297709923663,2.9000000000000057,
35.0,82.5,49.31297709923663,0.4000000000000057,
35.0,85.0,49.31297709923663,-2.0999999999999943,hood<0
36.0,45.0,50.83969465648854,37.900000000000006,
36.0,47.5,50.83969465648854,35.400000000000006,
36.0,50.0,50.83969465648854,32.900000000000006,
36.0,52.5,50.83969465648854,30.400000000000006,
36.0,55.0,50.83969465648854,27.900000000000006,
36.0,57.5,50.83969465648854,25.400000000000006,
36.0,60.0,50.83969465648854,22.900000000000006,
36.0,62.5,50.83969465648854,20.400000000000006,
36.0,65.0,50.83969465648854,17.900000000000006,
36.0,67.5,50.83969465648854,15.400000000000006,
36.0,70.0,50.83969465648854,12.900000000000006,
36.0,72.5,50.83969465648854,10.400000000000006,
36.0,75.0,50.83969465648854,7.900000000000006,
36.0,77.5,50.83969465648854,5.400000000000006,
36.0,80.0,50.83969465648854,2.9000000000000057,
36.0,82.5,50.83969465648854,0.4000000000000057,
36.0,85.0,50.83969465648854,-2.0999999999999943,hood<0
37.0,45.0,52.36641221374045,37.900000000000006,
37.0,47.5,52.36641221374045,35.400000000000006,
37.0,50.0,52.36641221374045,32.900000000000006,
37.0,52.5,52.36641221374045,30.400000000000006,
37.0,55.0,52.36641221374045,27.900000000000006,
37.0,57.5,52.36641221374045,25.400000000000006,
37.0,60.0,52.36641221374045,22.900000000000006,
37.0,62.5,52.36641221374045,20.400000000000006,
37.0,65.0,52.36641221374045,17.900000000000006,
37.0,67.5,52.36641221374045,15.400000000000006,
37.0,70.0,52.36641221374045,12.900000000000006,
37.0,72.5,52.36641221374045,10.400000000000006,
37.0,75.0,52.36641221374045,7.900000000000006,
37.0,77.5,52.36641221374045,5.400000000000006,
37.0,80.0,52.36641221374045,2.9000000000000057,
37.0,82.5,52.36641221374045,0.4000000000000057,
37.0,85.0,52.36641221374045,-2.0999999999999943,hood<0
38.0,45.0,53.89312977099236,37.900000000000006,
38.0,47.5,53.89312977099236,35.400000000000006,
38.0,50.0,53.89312977099236,32.900000000000006,
38.0,52.5,53.89312977099236,30.400000000000006,
38.0,55.0,53.89312977099236,27.900000000000006,
38.0,57.5,53.89312977099236,25.400000000000006,
38.0,60.0,53.89312977099236,22.900000000000006,
38.0,62.5,53.89312977099236,20.400000000000006,
38.0,65.0,53.89312977099236,17.900000000000006,
38.0,67.5,53.89312977099236,15.400000000000006,
38.0,70.0,53.89312977099236,12.900000000000006,
38.0,72.5,53.89312977099236,10.400000000000006,
38.0,75.0,53.89312977099236,7.900000000000006,
38.0,77.5,53.89312977099236,5.400000000000006,
38.0,80.0,53.89312977099236,2.9000000000000057,
38.0,82.5,53.89312977099236,0.4000000000000057,
38.0,85.0,53.89312977099236,-2.0999999999999943,hood<0
39.0,45.0,55.419847328244266,37.900000000000006,
39.0,47.5,55.419847328244266,35.400000000000006,
39.0,50.0,55.419847328244266,32.900000000000006,
39.0,52.5,55.419847328244266,30.400000000000006,
39.0,55.0,55.419847328244266,27.900000000000006,
39.0,57.5,55.419847328244266,25.400000000000006,
39.0,60.0,55.419847328244266,22.900000000000006,
39.0,62.5,55.419847328244266,20.400000000000006,
39.0,65.0,55.419847328244266,17.900000000000006,
39.0,67.5,55.419847328244266,15.400000000000006,
39.0,70.0,55.419847328244266,12.900000000000006,
